ingredient,skin_type,label
Tetrahydrodemethoxydiferuloylmethane,지성,NORMAL
Tetrahydrodemethoxydiferuloylmethane,복합성,NORMAL
Glycine,건성,NORMAL
Glycine,지성,NORMAL
Glycine,복합성,NORMAL
Maltodextrin,건성,NORMAL
Maltodextrin,지성,NORMAL
Maltodextrin,복합성,NORMAL
Eugenol,건성,CAUTION
Eugenol,지성,CAUTION
Eugenol,복합성,CAUTION
Methylchloroisothiazolinone,건성,CAUTION
Methylchloroisothiazolinone,지성,CAUTION
Methylchloroisothiazolinone,복합성,CAUTION
Helianthus Annuus Seed Oil,건성,GOOD
Helianthus Annuus Seed Oil,지성,GOOD
Helianthus Annuus Seed Oil,복합성,GOOD
Rosa Damascena Flower Water,건성,CAUTION
Rosa Damascena Flower Water,지성,CAUTION
Rosa Damascena Flower Water,복합성,CAUTION
PEG-7 Glyceryl Cocoate,건성,CAUTION
PEG-7 Glyceryl Cocoate,지성,GOOD
PEG-7 Glyceryl Cocoate,복합성,GOOD
PEG-100 Stearate,건성,NORMAL
PEG-100 Stearate,지성,NORMAL
PEG-100 Stearate,복합성,NORMAL
Poloxamer 184,건성,NORMAL
Poloxamer 184,지성,NORMAL
Poloxamer 184,복합성,NORMAL
Xylitylglucoside,건성,GOOD
Xylitylglucoside,지성,NORMAL
Xylitylglucoside,복합성,GOOD
Symphytum Officinale Root Extract,건성,GOOD
Symphytum Officinale Root Extract,지성,NORMAL
Symphytum Officinale Root Extract,복합성,GOOD
Polysorbate 80,건성,NORMAL
Polysorbate 80,지성,NORMAL
Polysorbate 80,복합성,NORMAL
Anhydroxylitol,건성,GOOD
Anhydroxylitol,지성,NORMAL
Anhydroxylitol,복합성,NORMAL
Ethylhexyl Methoxycinnamate,건성,NORMAL
Ethylhexyl Methoxycinnamate,지성,NORMAL
Ethylhexyl Methoxycinnamate,복합성,NORMAL
Xylitol,건성,GOOD
Xylitol,지성,NORMAL
Xylitol,복합성,NORMAL
Ammonium Polyacryloyldimethyl Taurate,건성,NORMAL
Ammonium Polyacryloyldimethyl Taurate,지성,GOOD
Ammonium Polyacryloyldimethyl Taurate,복합성,GOOD
Benzoic Acid,건성,CAUTION
Benzoic Acid,지성,NORMAL
Benzoic Acid,복합성,NORMAL
PEG-75,건성,GOOD
PEG-75,지성,NORMAL
PEG-75,복합성,NORMAL
Lactobacillus Ferment,건성,NORMAL
Lactobacillus Ferment,지성,GOOD
Lactobacillus Ferment,복합성,GOOD
Acetyl Hexapeptide-8,건성,NORMAL
Acetyl Hexapeptide-8,지성,NORMAL
Acetyl Hexapeptide-8,복합성,NORMAL
Caffeine,건성,NORMAL
Caffeine,지성,NORMAL
Caffeine,복합성,NORMAL
Betula Alba Bark Extract,건성,GOOD
Betula Alba Bark Extract,지성,GOOD
Betula Alba Bark Extract,복합성,GOOD
Silybum Marianum Extract,건성,NORMAL
Silybum Marianum Extract,지성,NORMAL
Silybum Marianum Extract,복합성,NORMAL
Anthemis Nobilis Flower Extract,건성,NORMAL
Anthemis Nobilis Flower Extract,지성,NORMAL
Anthemis Nobilis Flower Extract,복합성,NORMAL
Cyclohexasiloxane,건성,NORMAL
Cyclohexasiloxane,지성,GOOD
Cyclohexasiloxane,복합성,NORMAL
PPG-5-Ceteth-20,건성,NORMAL
PPG-5-Ceteth-20,지성,NORMAL
PPG-5-Ceteth-20,복합성,NORMAL
Oleth-10,건성,NORMAL
Oleth-10,지성,NORMAL
Oleth-10,복합성,NORMAL
Dimethicone,건성,GOOD
Dimethicone,지성,NORMAL
Dimethicone,복합성,NORMAL
Hydroxyethyl Urea,건성,GOOD
Hydroxyethyl Urea,지성,GOOD
Hydroxyethyl Urea,복합성,GOOD
PEG-8,건성,GOOD
PEG-8,지성,NORMAL
PEG-8,복합성,CAUTION
Magnesium Ascorbyl Phosphate,건성,NORMAL
Magnesium Ascorbyl Phosphate,지성,NORMAL
Magnesium Ascorbyl Phosphate,복합성,NORMAL
Behentrimonium Methosulfate,건성,NORMAL
Behentrimonium Methosulfate,지성,NORMAL
Behentrimonium Methosulfate,복합성,NORMAL
Ceramide NP,건성,GOOD
Ceramide NP,지성,NORMAL
Ceramide NP,복합성,GOOD
Cholesterol,건성,GOOD
Cholesterol,지성,NORMAL
Cholesterol,복합성,GOOD
Ci 14700,건성,NORMAL
Ci 14700,지성,NORMAL
Ci 14700,복합성,NORMAL
Ceramide EOP,건성,GOOD
Ceramide EOP,지성,CAUTION
Ceramide EOP,복합성,GOOD
Stearyl Alcohol,건성,NORMAL
Stearyl Alcohol,지성,NORMAL
Stearyl Alcohol,복합성,NORMAL
Ceramide AP,건성,GOOD
Ceramide AP,지성,NORMAL
Ceramide AP,복합성,GOOD
Potassium Phosphate,건성,NORMAL
Potassium Phosphate,지성,NORMAL
Potassium Phosphate,복합성,NORMAL
PEG-40 Stearate,건성,NORMAL
PEG-40 Stearate,지성,NORMAL
PEG-40 Stearate,복합성,NORMAL
Sodium Lauroyl Lactylate,건성,NORMAL
Sodium Lauroyl Lactylate,지성,NORMAL
Sodium Lauroyl Lactylate,복합성,NORMAL
Phytosphingosine,건성,GOOD
Phytosphingosine,지성,GOOD
Phytosphingosine,복합성,NORMAL
Methylparaben,건성,NORMAL
Methylparaben,지성,NORMAL
Methylparaben,복합성,NORMAL
Propylparaben,건성,NORMAL
Propylparaben,지성,NORMAL
Propylparaben,복합성,NORMAL
Ammonium Acryloyldimethyltaurate/?VP Copolymer,건성,NORMAL
Ammonium Acryloyldimethyltaurate/?VP Copolymer,지성,NORMAL
Ammonium Acryloyldimethyltaurate/?VP Copolymer,복합성,NORMAL
Ci 17200,건성,NORMAL
Ci 17200,지성,NORMAL
Ci 17200,복합성,NORMAL
Isopropyl Myristate,건성,NORMAL
Isopropyl Myristate,지성,CAUTION
Isopropyl Myristate,복합성,CAUTION
C12-15 Alkyl Benzoate,건성,NORMAL
C12-15 Alkyl Benzoate,지성,NORMAL
C12-15 Alkyl Benzoate,복합성,NORMAL
PEG-40 Hydrogenated Castor Oil,건성,CAUTION
PEG-40 Hydrogenated Castor Oil,지성,CAUTION
PEG-40 Hydrogenated Castor Oil,복합성,CAUTION
Dicaprylyl Carbonate,건성,GOOD
Dicaprylyl Carbonate,지성,NORMAL
Dicaprylyl Carbonate,복합성,NORMAL
Myristyl Myristate,건성,GOOD
Myristyl Myristate,지성,GOOD
Myristyl Myristate,복합성,CAUTION
Tetrahexyldecyl Ascorbate,건성,NORMAL
Tetrahexyldecyl Ascorbate,지성,NORMAL
Tetrahexyldecyl Ascorbate,복합성,NORMAL
Phenyl Trimethicone,건성,NORMAL
Phenyl Trimethicone,지성,NORMAL
Phenyl Trimethicone,복합성,NORMAL
Avena Sativa Kernel Extract,건성,GOOD
Avena Sativa Kernel Extract,지성,NORMAL
Avena Sativa Kernel Extract,복합성,GOOD
Zea Mays Starch,건성,NORMAL
Zea Mays Starch,지성,GOOD
Zea Mays Starch,복합성,NORMAL
Sorbitan Oleate,건성,GOOD
Sorbitan Oleate,지성,GOOD
Sorbitan Oleate,복합성,NORMAL
Glyceryl Behenate/?Eicosadioate,건성,NORMAL
Glyceryl Behenate/?Eicosadioate,지성,CAUTION
Glyceryl Behenate/?Eicosadioate,복합성,NORMAL
Linoleic Acid,건성,GOOD
Linoleic Acid,지성,GOOD
Linoleic Acid,복합성,GOOD
Mangifera Indica Seed Oil,건성,GOOD
Mangifera Indica Seed Oil,지성,NORMAL
Mangifera Indica Seed Oil,복합성,NORMAL
Cera Alba,건성,GOOD
Cera Alba,지성,CAUTION
Cera Alba,복합성,NORMAL
Borago Officinalis Seed Oil,건성,GOOD
Borago Officinalis Seed Oil,지성,NORMAL
Borago Officinalis Seed Oil,복합성,NORMAL
Camellia Oleifera Seed Oil,건성,GOOD
Camellia Oleifera Seed Oil,지성,GOOD
Camellia Oleifera Seed Oil,복합성,GOOD
Parabens,건성,CAUTION
Parabens,지성,NORMAL
Parabens,복합성,NORMAL
Aleurites Moluccana Seed Oil,건성,GOOD
Aleurites Moluccana Seed Oil,지성,GOOD
Aleurites Moluccana Seed Oil,복합성,NORMAL
Oryza Sativa Bran Oil,건성,GOOD
Oryza Sativa Bran Oil,지성,NORMAL
Oryza Sativa Bran Oil,복합성,NORMAL
Moringa Oleifera Seed Oil,건성,GOOD
Moringa Oleifera Seed Oil,지성,CAUTION
Moringa Oleifera Seed Oil,복합성,CAUTION
Theobroma Cacao Seed Butter,건성,GOOD
Theobroma Cacao Seed Butter,지성,CAUTION
Theobroma Cacao Seed Butter,복합성,NORMAL
Adansonia Digitata Seed Oil,건성,GOOD
Adansonia Digitata Seed Oil,지성,NORMAL
Adansonia Digitata Seed Oil,복합성,NORMAL
Ricinus Communis Seed Oil,건성,GOOD
Ricinus Communis Seed Oil,지성,CAUTION
Ricinus Communis Seed Oil,복합성,NORMAL
Rosa Damascena Flower Cera,건성,GOOD
Rosa Damascena Flower Cera,지성,CAUTION
Rosa Damascena Flower Cera,복합성,CAUTION
Pelargonium Graveolens Leaf Oil,건성,CAUTION
Pelargonium Graveolens Leaf Oil,지성,CAUTION
Pelargonium Graveolens Leaf Oil,복합성,CAUTION
Daucus Carota Sativa Root Extract,건성,GOOD
Daucus Carota Sativa Root Extract,지성,CAUTION
Daucus Carota Sativa Root Extract,복합성,NORMAL
Calendula Officinalis Flower Extract,건성,NORMAL
Calendula Officinalis Flower Extract,지성,NORMAL
Calendula Officinalis Flower Extract,복합성,NORMAL
Eucalyptus Radiata Leaf Oil,건성,CAUTION
Eucalyptus Radiata Leaf Oil,지성,CAUTION
Eucalyptus Radiata Leaf Oil,복합성,CAUTION
Alcohol,건성,CAUTION
Alcohol,지성,GOOD
Alcohol,복합성,GOOD
Melaleuca Alternifolia Leaf Oil,건성,CAUTION
Melaleuca Alternifolia Leaf Oil,지성,GOOD
Melaleuca Alternifolia Leaf Oil,복합성,CAUTION
Citrus Aurantium Amara Flower Water,건성,CAUTION
Citrus Aurantium Amara Flower Water,지성,CAUTION
Citrus Aurantium Amara Flower Water,복합성,CAUTION
Potassium Alum,건성,CAUTION
Potassium Alum,지성,NORMAL
Potassium Alum,복합성,NORMAL
Rosmarinus Officinalis Leaf Oil,건성,CAUTION
Rosmarinus Officinalis Leaf Oil,지성,CAUTION
Rosmarinus Officinalis Leaf Oil,복합성,CAUTION
Styrax Tonkinensis Resin Extract,건성,CAUTION
Styrax Tonkinensis Resin Extract,지성,CAUTION
Styrax Tonkinensis Resin Extract,복합성,CAUTION
Mentha Piperita Oil,건성,CAUTION
Mentha Piperita Oil,지성,CAUTION
Mentha Piperita Oil,복합성,CAUTION
Melissa Officinalis Leaf Oil,건성,CAUTION
Melissa Officinalis Leaf Oil,지성,CAUTION
Melissa Officinalis Leaf Oil,복합성,CAUTION
Rosa Damascena Flower Oil,건성,CAUTION
Rosa Damascena Flower Oil,지성,CAUTION
Rosa Damascena Flower Oil,복합성,CAUTION
Persea Gratissima Oil,건성,GOOD
Persea Gratissima Oil,지성,CAUTION
Persea Gratissima Oil,복합성,NORMAL
Farnesol,건성,CAUTION
Farnesol,지성,CAUTION
Farnesol,복합성,CAUTION
Vitis Vinifera Seed Oil,건성,GOOD
Vitis Vinifera Seed Oil,지성,NORMAL
Vitis Vinifera Seed Oil,복합성,NORMAL
Calendula Officinalis Extract,건성,NORMAL
Calendula Officinalis Extract,지성,NORMAL
Calendula Officinalis Extract,복합성,NORMAL
Citrus Aurantium Bergamia Peel Oil,건성,CAUTION
Citrus Aurantium Bergamia Peel Oil,지성,CAUTION
Citrus Aurantium Bergamia Peel Oil,복합성,CAUTION
Daucus Carota Sativa Seed Oil,건성,GOOD
Daucus Carota Sativa Seed Oil,지성,CAUTION
Daucus Carota Sativa Seed Oil,복합성,CAUTION
Vitis Vinifera Fruit Extract,건성,GOOD
Vitis Vinifera Fruit Extract,지성,NORMAL
Vitis Vinifera Fruit Extract,복합성,NORMAL
Oenothera Biennis Oil,건성,GOOD
Oenothera Biennis Oil,지성,NORMAL
Oenothera Biennis Oil,복합성,GOOD
Urtica Dioica Leaf Extract,건성,CAUTION
Urtica Dioica Leaf Extract,지성,GOOD
Urtica Dioica Leaf Extract,복합성,NORMAL
Taraxacum Officinale Leaf Extract,건성,NORMAL
Taraxacum Officinale Leaf Extract,지성,NORMAL
Taraxacum Officinale Leaf Extract,복합성,NORMAL
Rosmarinus Officinalis Leaf Extract,건성,CAUTION
Rosmarinus Officinalis Leaf Extract,지성,CAUTION
Rosmarinus Officinalis Leaf Extract,복합성,CAUTION
Hippophae Rhamnoides Fruit Oil,건성,GOOD
Hippophae Rhamnoides Fruit Oil,지성,CAUTION
Hippophae Rhamnoides Fruit Oil,복합성,CAUTION
Calophyllum Tacamahaca Oil,건성,GOOD
Calophyllum Tacamahaca Oil,지성,NORMAL
Calophyllum Tacamahaca Oil,복합성,NORMAL
Potassium Hydroxide,건성,NORMAL
Potassium Hydroxide,지성,NORMAL
Potassium Hydroxide,복합성,NORMAL
Palmitic Acid,건성,GOOD
Palmitic Acid,지성,NORMAL
Palmitic Acid,복합성,NORMAL
Lauric Acid,건성,GOOD
Lauric Acid,지성,CAUTION
Lauric Acid,복합성,NORMAL
Myristic Acid,건성,GOOD
Myristic Acid,지성,CAUTION
Myristic Acid,복합성,CAUTION
Sodium Methyl Cocoyl Taurate,건성,CAUTION
Sodium Methyl Cocoyl Taurate,지성,NORMAL
Sodium Methyl Cocoyl Taurate,복합성,CAUTION
Microcitrus Australasica Fruit Extract,건성,NORMAL
Microcitrus Australasica Fruit Extract,지성,NORMAL
Microcitrus Australasica Fruit Extract,복합성,NORMAL
Aloe Barbadensis Leaf Juice Powder,건성,GOOD
Aloe Barbadensis Leaf Juice Powder,지성,NORMAL
Aloe Barbadensis Leaf Juice Powder,복합성,CAUTION
Sodium Lauryl Sulfoacetate,건성,NORMAL
Sodium Lauryl Sulfoacetate,지성,NORMAL
Sodium Lauryl Sulfoacetate,복합성,NORMAL
Cocos Nucifera Water,건성,GOOD
Cocos Nucifera Water,지성,NORMAL
Cocos Nucifera Water,복합성,NORMAL
Helianthus Annuus Extract,건성,GOOD
Helianthus Annuus Extract,지성,NORMAL
Helianthus Annuus Extract,복합성,NORMAL
Citrullus Lanatus Fruit Extract,건성,NORMAL
Citrullus Lanatus Fruit Extract,지성,NORMAL
Citrullus Lanatus Fruit Extract,복합성,NORMAL
Styrax Benzoin Resin Extract,건성,NORMAL
Styrax Benzoin Resin Extract,지성,NORMAL
Styrax Benzoin Resin Extract,복합성,NORMAL
Cyclopentasiloxane,건성,NORMAL
Cyclopentasiloxane,지성,NORMAL
Cyclopentasiloxane,복합성,NORMAL
Superoxide Dismutase,건성,NORMAL
Superoxide Dismutase,지성,NORMAL
Superoxide Dismutase,복합성,NORMAL
Laminaria Saccharina Extract,건성,GOOD
Laminaria Saccharina Extract,지성,GOOD
Laminaria Saccharina Extract,복합성,NORMAL
Sodium Carbomer,건성,NORMAL
Sodium Carbomer,지성,NORMAL
Sodium Carbomer,복합성,NORMAL
Salix Alba Bark Extract,건성,CAUTION
Salix Alba Bark Extract,지성,GOOD
Salix Alba Bark Extract,복합성,GOOD
Citrus Aurantium Amara Flower Oil,건성,CAUTION
Citrus Aurantium Amara Flower Oil,지성,CAUTION
Citrus Aurantium Amara Flower Oil,복합성,CAUTION
Dimethicone/?Vinyl Dimethicone Crosspolymer,건성,NORMAL
Dimethicone/?Vinyl Dimethicone Crosspolymer,지성,GOOD
Dimethicone/?Vinyl Dimethicone Crosspolymer,복합성,NORMAL
Polyacrylate-13,건성,NORMAL
Polyacrylate-13,지성,NORMAL
Polyacrylate-13,복합성,NORMAL
Vitis Vinifera Seed Extract,건성,NORMAL
Vitis Vinifera Seed Extract,지성,NORMAL
Vitis Vinifera Seed Extract,복합성,NORMAL
Hydrolyzed Collagen,건성,GOOD
Hydrolyzed Collagen,지성,NORMAL
Hydrolyzed Collagen,복합성,NORMAL
Silybum Marianum Seed Oil,건성,GOOD
Silybum Marianum Seed Oil,지성,NORMAL
Silybum Marianum Seed Oil,복합성,NORMAL
Polyisobutene,건성,NORMAL
Polyisobutene,지성,NORMAL
Polyisobutene,복합성,NORMAL
Methyl Gluceth-20,건성,NORMAL
Methyl Gluceth-20,지성,NORMAL
Methyl Gluceth-20,복합성,NORMAL
Glyceryl Caprylate,건성,GOOD
Glyceryl Caprylate,지성,NORMAL
Glyceryl Caprylate,복합성,NORMAL
Opuntia Ficus-Indica Seed Oil,건성,GOOD
Opuntia Ficus-Indica Seed Oil,지성,NORMAL
Opuntia Ficus-Indica Seed Oil,복합성,NORMAL
Sorbitan Olivate,건성,GOOD
Sorbitan Olivate,지성,CAUTION
Sorbitan Olivate,복합성,NORMAL
Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,건성,NORMAL
Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,지성,NORMAL
Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,복합성,NORMAL
Asiaticoside,건성,NORMAL
Asiaticoside,지성,NORMAL
Asiaticoside,복합성,NORMAL
Sclerotium Gum,건성,NORMAL
Sclerotium Gum,지성,NORMAL
Sclerotium Gum,복합성,NORMAL
Cetearyl Olivate,건성,GOOD
Cetearyl Olivate,지성,CAUTION
Cetearyl Olivate,복합성,NORMAL
Shea Butter Ethyl Esters,건성,GOOD
Shea Butter Ethyl Esters,지성,CAUTION
Shea Butter Ethyl Esters,복합성,CAUTION
Pelargonium Graveolens Leaf/?Flower Oil,건성,CAUTION
Pelargonium Graveolens Leaf/?Flower Oil,지성,CAUTION
Pelargonium Graveolens Leaf/?Flower Oil,복합성,CAUTION
Oleic/?Linoleic/?Linolenic Polyglycerides,건성,GOOD
Oleic/?Linoleic/?Linolenic Polyglycerides,지성,CAUTION
Oleic/?Linoleic/?Linolenic Polyglycerides,복합성,CAUTION
Agonis Fragrans Branch/?Leaf Oil,건성,CAUTION
Agonis Fragrans Branch/?Leaf Oil,지성,CAUTION
Agonis Fragrans Branch/?Leaf Oil,복합성,CAUTION
Rosa Damascena Absolute,건성,CAUTION
Rosa Damascena Absolute,지성,CAUTION
Rosa Damascena Absolute,복합성,CAUTION
Melaleuca Teretifolia Branch/?Leaf Oil,건성,CAUTION
Melaleuca Teretifolia Branch/?Leaf Oil,지성,CAUTION
Melaleuca Teretifolia Branch/?Leaf Oil,복합성,CAUTION
Rosa Rubiginosa Seed Oil,건성,GOOD
Rosa Rubiginosa Seed Oil,지성,GOOD
Rosa Rubiginosa Seed Oil,복합성,NORMAL
Lavandula Angustifolia Oil,건성,CAUTION
Lavandula Angustifolia Oil,지성,CAUTION
Lavandula Angustifolia Oil,복합성,CAUTION
PPG-26-Buteth-26,건성,CAUTION
PPG-26-Buteth-26,지성,CAUTION
PPG-26-Buteth-26,복합성,CAUTION
Olea Europaea Fruit Oil,건성,GOOD
Olea Europaea Fruit Oil,지성,GOOD
Olea Europaea Fruit Oil,복합성,CAUTION
Carrageenan,건성,NORMAL
Carrageenan,지성,NORMAL
Carrageenan,복합성,NORMAL
Lonicera Caprifolium Extract,건성,NORMAL
Lonicera Caprifolium Extract,지성,NORMAL
Lonicera Caprifolium Extract,복합성,NORMAL
PEG-12 Dimethicone,건성,NORMAL
PEG-12 Dimethicone,지성,NORMAL
PEG-12 Dimethicone,복합성,NORMAL
Acacia Senegal Gum,건성,NORMAL
Acacia Senegal Gum,지성,NORMAL
Acacia Senegal Gum,복합성,NORMAL
Zinc Pca,건성,GOOD
Zinc Pca,지성,GOOD
Zinc Pca,복합성,GOOD
Lonicera Japonica Flower Extract,건성,NORMAL
Lonicera Japonica Flower Extract,지성,NORMAL
Lonicera Japonica Flower Extract,복합성,NORMAL
Biosaccharide Gum-2,건성,GOOD
Biosaccharide Gum-2,지성,NORMAL
Biosaccharide Gum-2,복합성,NORMAL
Octyldodecanol,건성,NORMAL
Octyldodecanol,지성,NORMAL
Octyldodecanol,복합성,NORMAL
PEG-20 Methyl Glucose Sesquistearate,건성,GOOD
PEG-20 Methyl Glucose Sesquistearate,지성,NORMAL
PEG-20 Methyl Glucose Sesquistearate,복합성,NORMAL
Zinc Palmitoyl Nonapeptide-14,건성,NORMAL
Zinc Palmitoyl Nonapeptide-14,지성,NORMAL
Zinc Palmitoyl Nonapeptide-14,복합성,NORMAL
Dimethyl Isosorbide,건성,NORMAL
Dimethyl Isosorbide,지성,NORMAL
Dimethyl Isosorbide,복합성,NORMAL
Copper Tripeptide-1,건성,NORMAL
Copper Tripeptide-1,지성,NORMAL
Copper Tripeptide-1,복합성,NORMAL
Palmitoyl Decapeptide-21,건성,NORMAL
Palmitoyl Decapeptide-21,지성,NORMAL
Palmitoyl Decapeptide-21,복합성,NORMAL
Phenylpropanol,건성,NORMAL
Phenylpropanol,지성,NORMAL
Phenylpropanol,복합성,NORMAL
Decapeptide-22,건성,NORMAL
Decapeptide-22,지성,NORMAL
Decapeptide-22,복합성,NORMAL
Diglycerin,건성,GOOD
Diglycerin,지성,NORMAL
Diglycerin,복합성,GOOD
Ogliopeptide-78,건성,NORMAL
Ogliopeptide-78,지성,NORMAL
Ogliopeptide-78,복합성,NORMAL
Alteromonas Ferment Extract,건성,CAUTION
Alteromonas Ferment Extract,지성,NORMAL
Alteromonas Ferment Extract,복합성,CAUTION
Alteromonas Ferment Filtrate,건성,GOOD
Alteromonas Ferment Filtrate,지성,NORMAL
Alteromonas Ferment Filtrate,복합성,GOOD
PPG-12-Buteth-16,건성,NORMAL
PPG-12-Buteth-16,지성,NORMAL
PPG-12-Buteth-16,복합성,NORMAL
Pentapeptide-18,건성,NORMAL
Pentapeptide-18,지성,NORMAL
Pentapeptide-18,복합성,NORMAL
Retinol,건성,CAUTION
Retinol,지성,NORMAL
Retinol,복합성,NORMAL
Coceth-7,건성,NORMAL
Coceth-7,지성,NORMAL
Coceth-7,복합성,NORMAL
Acetylarginyltryptophyl Diphenylglycine,건성,NORMAL
Acetylarginyltryptophyl Diphenylglycine,지성,NORMAL
Acetylarginyltryptophyl Diphenylglycine,복합성,NORMAL
Palmitoyl Tripeptide-1,건성,NORMAL
Palmitoyl Tripeptide-1,지성,NORMAL
Palmitoyl Tripeptide-1,복합성,NORMAL
Dipeptide Diaminobutyroyl Benzylamide Diacetate,건성,NORMAL
Dipeptide Diaminobutyroyl Benzylamide Diacetate,지성,NORMAL
Dipeptide Diaminobutyroyl Benzylamide Diacetate,복합성,NORMAL
Valine,건성,NORMAL
Valine,지성,NORMAL
Valine,복합성,NORMAL
Proline,건성,NORMAL
Proline,지성,NORMAL
Proline,복합성,NORMAL
Threonine,건성,NORMAL
Threonine,지성,NORMAL
Threonine,복합성,NORMAL
Arginine,건성,NORMAL
Arginine,지성,NORMAL
Arginine,복합성,NORMAL
Phenylalanine,건성,NORMAL
Phenylalanine,지성,NORMAL
Phenylalanine,복합성,NORMAL
Palmitoyl Tetrapeptide-7,건성,NORMAL
Palmitoyl Tetrapeptide-7,지성,NORMAL
Palmitoyl Tetrapeptide-7,복합성,NORMAL
Isoleucine,건성,GOOD
Isoleucine,지성,NORMAL
Isoleucine,복합성,NORMAL
Palmitoyl Hexapeptide-12,건성,NORMAL
Palmitoyl Hexapeptide-12,지성,NORMAL
Palmitoyl Hexapeptide-12,복합성,NORMAL
Pca,건성,NORMAL
Pca,지성,NORMAL
Pca,복합성,NORMAL
Rubus Fruticosus Seed Oil,건성,GOOD
Rubus Fruticosus Seed Oil,지성,GOOD
Rubus Fruticosus Seed Oil,복합성,GOOD
Eriocephalus Punctulatus Oil,건성,CAUTION
Eriocephalus Punctulatus Oil,지성,CAUTION
Eriocephalus Punctulatus Oil,복합성,CAUTION
Salvia Hispanica Seed Oil,건성,GOOD
Salvia Hispanica Seed Oil,지성,NORMAL
Salvia Hispanica Seed Oil,복합성,GOOD
Anthemis Nobilis Flower Oil,건성,CAUTION
Anthemis Nobilis Flower Oil,지성,CAUTION
Anthemis Nobilis Flower Oil,복합성,CAUTION
Chamomilla Recutita Flower Oil,건성,CAUTION
Chamomilla Recutita Flower Oil,지성,CAUTION
Chamomilla Recutita Flower Oil,복합성,CAUTION
Aspartic Acid,건성,NORMAL
Aspartic Acid,지성,NORMAL
Aspartic Acid,복합성,NORMAL
Histidine,건성,NORMAL
Histidine,지성,NORMAL
Histidine,복합성,NORMAL
Citrus Aurantium Dulcis Oil,건성,CAUTION
Citrus Aurantium Dulcis Oil,지성,CAUTION
Citrus Aurantium Dulcis Oil,복합성,CAUTION
Hydroxypinacolone Retinoate,건성,CAUTION
Hydroxypinacolone Retinoate,지성,GOOD
Hydroxypinacolone Retinoate,복합성,NORMAL
Cananga Odorata Flower Oil,건성,CAUTION
Cananga Odorata Flower Oil,지성,CAUTION
Cananga Odorata Flower Oil,복합성,CAUTION
Berberis Vulgaris Root Extract,건성,NORMAL
Berberis Vulgaris Root Extract,지성,GOOD
Berberis Vulgaris Root Extract,복합성,NORMAL
Lens Esculenta Fruit Extract,건성,GOOD
Lens Esculenta Fruit Extract,지성,NORMAL
Lens Esculenta Fruit Extract,복합성,GOOD
Ananas Sativus Fruit Extract,건성,GOOD
Ananas Sativus Fruit Extract,지성,NORMAL
Ananas Sativus Fruit Extract,복합성,GOOD
Coco-Caprylate/?Caprate,건성,GOOD
Coco-Caprylate/?Caprate,지성,NORMAL
Coco-Caprylate/?Caprate,복합성,NORMAL
Scutellaria Baicalensis Root Extract,건성,NORMAL
Scutellaria Baicalensis Root Extract,지성,NORMAL
Scutellaria Baicalensis Root Extract,복합성,NORMAL
Algae Extract,건성,GOOD
Algae Extract,지성,NORMAL
Algae Extract,복합성,NORMAL
Coconut Alkanes,건성,NORMAL
Coconut Alkanes,지성,NORMAL
Coconut Alkanes,복합성,NORMAL
Tremella Fuciformis Sporocarp Extract,건성,GOOD
Tremella Fuciformis Sporocarp Extract,지성,NORMAL
Tremella Fuciformis Sporocarp Extract,복합성,NORMAL
Sodium Butyroyl Hyaluronate,건성,GOOD
Sodium Butyroyl Hyaluronate,지성,NORMAL
Sodium Butyroyl Hyaluronate,복합성,NORMAL
Pyrus Malus Fruit Extract,건성,GOOD
Pyrus Malus Fruit Extract,지성,NORMAL
Pyrus Malus Fruit Extract,복합성,NORMAL
Tasmannia Lanceolata Fruit/?Leaf Extract,건성,NORMAL
Tasmannia Lanceolata Fruit/?Leaf Extract,지성,NORMAL
Tasmannia Lanceolata Fruit/?Leaf Extract,복합성,NORMAL
Inulin Lauryl Carbamate,건성,NORMAL
Inulin Lauryl Carbamate,지성,NORMAL
Inulin Lauryl Carbamate,복합성,NORMAL
Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate,건성,GOOD
Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate,지성,NORMAL
Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate,복합성,GOOD
Dehydroacetic Acid,건성,NORMAL
Dehydroacetic Acid,지성,NORMAL
Dehydroacetic Acid,복합성,NORMAL
Isodecyl Neopentanoate,건성,NORMAL
Isodecyl Neopentanoate,지성,GOOD
Isodecyl Neopentanoate,복합성,NORMAL
C13-15 Alkane,건성,GOOD
C13-15 Alkane,지성,GOOD
C13-15 Alkane,복합성,GOOD
Sucrose Laurate,건성,GOOD
Sucrose Laurate,지성,NORMAL
Sucrose Laurate,복합성,NORMAL
Acrylates/?Ethylhexyl Acrylate Crosspolymer,건성,NORMAL
Acrylates/?Ethylhexyl Acrylate Crosspolymer,지성,GOOD
Acrylates/?Ethylhexyl Acrylate Crosspolymer,복합성,NORMAL
Dodecane,건성,NORMAL
Dodecane,지성,NORMAL
Dodecane,복합성,NORMAL
Isononyl Isononanoate,건성,GOOD
Isononyl Isononanoate,지성,GOOD
