ingredient,skin_type,label
Rubus Idaeus Fruit Extract,건성,NORMAL
Rubus Idaeus Fruit Extract,지성,NORMAL
Rubus Idaeus Fruit Extract,복합성,NORMAL
Sclerocarya Birrea  Seed Oil,건성,GOOD
Sclerocarya Birrea  Seed Oil,지성,NORMAL
Sclerocarya Birrea  Seed Oil,복합성,NORMAL
Vitis Vinifera Juice Extract,건성,NORMAL
Vitis Vinifera Juice Extract,지성,NORMAL
Vitis Vinifera Juice Extract,복합성,NORMAL
Sodium Hyaluronate Crosspolymer,건성,GOOD
Sodium Hyaluronate Crosspolymer,지성,NORMAL
Sodium Hyaluronate Crosspolymer,복합성,NORMAL
Propanediol,건성,NORMAL
Propanediol,지성,NORMAL
Propanediol,복합성,NORMAL
Aloe Barbadensis Leaf Juice,건성,NORMAL
Aloe Barbadensis Leaf Juice,지성,NORMAL
Aloe Barbadensis Leaf Juice,복합성,NORMAL
Aesculus Hippocastanum Seed Extract,건성,NORMAL
Aesculus Hippocastanum Seed Extract,지성,NORMAL
Aesculus Hippocastanum Seed Extract,복합성,NORMAL
Allantoin,건성,GOOD
Allantoin,지성,NORMAL
Allantoin,복합성,GOOD
Hydroxyethylcellulose,건성,NORMAL
Hydroxyethylcellulose,지성,NORMAL
Hydroxyethylcellulose,복합성,NORMAL
Buddleja Davidii Meristem Cell Culture,건성,NORMAL
Buddleja Davidii Meristem Cell Culture,지성,NORMAL
Buddleja Davidii Meristem Cell Culture,복합성,NORMAL
Arctostaphylos Uva-Ursi Leaf Extract,건성,NORMAL
Arctostaphylos Uva-Ursi Leaf Extract,지성,NORMAL
Arctostaphylos Uva-Ursi Leaf Extract,복합성,NORMAL
Polysorbate 20,건성,NORMAL
Polysorbate 20,지성,NORMAL
Polysorbate 20,복합성,NORMAL
Ethylhexylglycerin,건성,NORMAL
Ethylhexylglycerin,지성,NORMAL
Ethylhexylglycerin,복합성,NORMAL
Saccharomyces Ferment,건성,NORMAL
Saccharomyces Ferment,지성,NORMAL
Saccharomyces Ferment,복합성,NORMAL
Glycereth-26,건성,GOOD
Glycereth-26,지성,NORMAL
Glycereth-26,복합성,NORMAL
Hexylene Glycol,건성,CAUTION
Hexylene Glycol,지성,NORMAL
Hexylene Glycol,복합성,NORMAL
Camellia Oleifera  Leaf Extract,건성,NORMAL
Camellia Oleifera  Leaf Extract,지성,NORMAL
Camellia Oleifera  Leaf Extract,복합성,NORMAL
Tetrasodium EDTA,건성,NORMAL
Tetrasodium EDTA,지성,NORMAL
Tetrasodium EDTA,복합성,NORMAL
Methylpropanediol,건성,NORMAL
Methylpropanediol,지성,NORMAL
Methylpropanediol,복합성,NORMAL
Niacinamide,건성,GOOD
Niacinamide,지성,GOOD
Niacinamide,복합성,GOOD
